name,time,delta_volume,total_accumulated_volume,total_pulse_count
water_meter,1621012258882657330,0,0,3018429
water_meter,1621012558992252364,0,0,3018429
water_meter,1621012859112205637,0,0,3018429
water_meter,1621013159271794342,0,0,3018429
water_meter,1621013459351283916,0,0,3018429
water_meter,1621013759484015421,0,0,3018429
water_meter,1621014059582160923,0,0,3018429
water_meter,1621014359714003261,0,0,3018429
water_meter,1621014659832586597,0,0,3018429
water_meter,1621014959933234861,0,0,3018429
water_meter,1621015561032665377,0,0,3018429
water_meter,1621015861173599553,0,0,3018429
water_meter,1621016161302192510,0,0,3018429
water_meter,1621016461412490975,0,0,3018429
water_meter,1621016761522841764,0,0,3018429
water_meter,1621017061612287125,0,0,3018429
